candidate	endpoint	status	rc
supabase/auth	repo	available	0
supabase/auth	license	available	0
supabase/auth	readme	available	0
supabase/auth	community	available	0
supabase/auth	workflows	available	0
supabase/auth	latest-release	available	0
supabase/auth	security-policy	failed	1
supabase/auth	dependabot	failed	1
better-auth/better-auth	repo	available	0
better-auth/better-auth	license	available	0
better-auth/better-auth	readme	available	0
better-auth/better-auth	community	available	0
better-auth/better-auth	workflows	available	0
better-auth/better-auth	latest-release	available	0
better-auth/better-auth	security-policy	available	0
better-auth/better-auth	dependabot	available	0
nextauthjs/next-auth	repo	available	0
nextauthjs/next-auth	license	available	0
nextauthjs/next-auth	readme	available	0
nextauthjs/next-auth	community	available	0
nextauthjs/next-auth	workflows	available	0
nextauthjs/next-auth	latest-release	available	0
nextauthjs/next-auth	security-policy	failed	1
nextauthjs/next-auth	dependabot	available	0
ory/kratos	repo	available	0
ory/kratos	license	available	0
ory/kratos	readme	available	0
ory/kratos	community	available	0
ory/kratos	workflows	available	0
ory/kratos	latest-release	available	0
ory/kratos	security-policy	available	0
ory/kratos	dependabot	failed	1
keycloak/keycloak	repo	available	0
keycloak/keycloak	license	available	0
keycloak/keycloak	readme	available	0
keycloak/keycloak	community	available	0
keycloak/keycloak	workflows	available	0
keycloak/keycloak	latest-release	available	0
keycloak/keycloak	security-policy	available	0
keycloak/keycloak	dependabot	available	0
zitadel/zitadel	repo	available	0
zitadel/zitadel	license	available	0
zitadel/zitadel	readme	available	0
zitadel/zitadel	community	available	0
zitadel/zitadel	workflows	available	0
zitadel/zitadel	latest-release	available	0
zitadel/zitadel	security-policy	available	0
zitadel/zitadel	dependabot	available	0
authelia/authelia	repo	available	0
authelia/authelia	license	available	0
authelia/authelia	readme	available	0
authelia/authelia	community	available	0
authelia/authelia	workflows	available	0
authelia/authelia	latest-release	available	0
authelia/authelia	security-policy	available	0
authelia/authelia	dependabot	failed	1
logto-io/logto	repo	available	0
logto-io/logto	license	available	0
logto-io/logto	readme	available	0
logto-io/logto	community	available	0
logto-io/logto	workflows	available	0
logto-io/logto	latest-release	available	0
logto-io/logto	security-policy	failed	1
logto-io/logto	dependabot	failed	1
