repo	endpoint	api_path	status	return_code	bytes	sha256	retrieved_at_utc
better-auth/better-auth	repo	repos/better-auth/better-auth	available	0	6657	4b378b7aa2c2704196e494c39714b5443144e60d155036f1e6a5f28867cfed06	2026-09-23T19:18:09Z
better-auth/better-auth	license	repos/better-auth/better-auth/license	available	0	2462	68e0ec8f5116d2f2810db42a961eba779eb5e967ad028226006a1bf355265b3b	2026-09-23T19:18:09Z
better-auth/better-auth	readme	repos/better-auth/better-auth/readme	available	0	4081	48ae7a12608ea715ed315921084d058dc9d2af8168ad1e97f3dfe7afd66aa6c1	2026-09-23T19:18:10Z
better-auth/better-auth	latest-release	repos/better-auth/better-auth/releases/latest	available	0	4943	9a1cd1e00ffc4a386cb244afc447cd3ccfea69e6a9a04355b015f03367e6b66a	2026-09-23T19:18:10Z
better-auth/better-auth	root-contents	repos/better-auth/better-auth/contents	available	0	29014	826a4ecfefa99a9248fba8f0a101c0382e1778374cb0f1092d41bda68f6b6751	2026-09-23T19:18:10Z
supabase/supabase	repo	repos/supabase/supabase	available	0	6636	0c4c8b3947e5bfecf16834bd97bd86b264fe7dd6cba40bd2220aa9d350bf14c3	2026-09-23T19:18:11Z
supabase/supabase	license	repos/supabase/supabase/license	available	0	16544	d13231e872561887a34c698cc935a902310c36e781ec4b4271646de58fa29363	2026-09-23T19:18:11Z
supabase/supabase	readme	repos/supabase/supabase/readme	available	0	23966	294969855e0136f0b059b07cbbb16718c8a257bb513a55d43e7464b20ba2e4f5	2026-09-23T19:18:12Z
supabase/supabase	latest-release	repos/supabase/supabase/releases/latest	available	0	7995	21760392dd305216d8976b136f1b3f230506840b8a2952aa4a1e4ba6e2af8dde	2026-09-23T19:18:12Z
supabase/supabase	root-contents	repos/supabase/supabase/contents	available	0	25891	7e62d80248924584541b98f13aeb38c22d391f49de86c27841ed81f797c71b64	2026-09-23T19:18:13Z
caddyserver/caddy	repo	repos/caddyserver/caddy	available	0	6578	6bfa412be5f4968256627b844b9af11cfb3e65fccd5a75003ea4ef6afa985887	2026-09-23T19:18:13Z
caddyserver/caddy	license	repos/caddyserver/caddy/license	available	0	16570	42744735463ec0b8c318fe6684930a6c0d5f20a8efcd76f6448c4bcc5e0a0db3	2026-09-23T19:18:14Z
caddyserver/caddy	readme	repos/caddyserver/caddy/readme	available	0	18220	6924924dfe0bfbd8aec377a39e9b96307099e74c5d6366a9200c039a67a8a5b1	2026-09-23T19:18:14Z
caddyserver/caddy	latest-release	repos/caddyserver/caddy/releases/latest	available	0	222351	e71536d12297d3c350782c23a776bd25f57d708886256926bc9841acfce7852b	2026-09-23T19:18:15Z
caddyserver/caddy	root-contents	repos/caddyserver/caddy/contents	available	0	43548	a90a65e624014081e42602911d24b345560aa56513a01faac105cc8d543c902d	2026-09-23T19:18:15Z
coollabsio/coolify	repo	repos/coollabsio/coolify	available	0	6780	af93efd44db4d4db1978f1a91d20c7e1d2271ebd66a494d7909817ebed3542a2	2026-09-23T19:18:15Z
coollabsio/coolify	license	repos/coollabsio/coolify/license	available	0	16551	64652eea67775629fc466a2a8cdb802473038b377bd61e3d2bff9c9f598c92a2	2026-09-23T19:18:16Z
coollabsio/coolify	readme	repos/coollabsio/coolify/readme	available	0	21213	8a19e00b0c2b6691a755dfffcff3babe3817e18164d339f5eaf467c04321d200	2026-09-23T19:18:16Z
coollabsio/coolify	latest-release	repos/coollabsio/coolify/releases/latest	available	0	2656	7db13ddc1d8c92b55cfe1315bc73b7b49e8d49eaa727191bf469a426a2a32c69	2026-09-23T19:18:17Z
coollabsio/coolify	root-contents	repos/coollabsio/coolify/contents	available	0	54252	c656260d6996c4d14297ecd15b30c0e3d75fd7769626b603a08a1038dd6940c8	2026-09-23T19:18:17Z
vercel/next.js	repo	repos/vercel/next.js	available	0	6260	ce374e450d1fc3c2ad0f52d040f5ac186a49904ae0f4f5c09697c685e055ea88	2026-09-23T19:18:18Z
vercel/next.js	license	repos/vercel/next.js/license	available	0	2379	46438d56847d5ea72411be03d9f2f486496ce3f09870cd530a0c11a298539369	2026-09-23T19:18:18Z
